region,year,male_total,m_0_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85_89,m_90_94,m_95_99,m_100+,female_total,f_0-4,f_5_9,f_10_14,f_15_19,f_20-24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85_89,f_90_94,f_95_99,f_100+
Busan,2013,1726562,68406,67304,87383,117823,128603,111693,137199,124220,143643,138825,156363,145280,104211,78099,62308,34439,14543,4750,1300,148,0,1762157,64779,63326,78916,102597,111614,104584,131850,119526,144280,145296,167885,152598,111211,84728,75443,51525,30790,15324,4843,888,154
Daegu,2013,1234651,52748,56548,75409,96967,97945,78352,90731,90607,109544,108870,110298,87448,61801,43365,37141,22627,9804,3466,854,112,0,1246902,49748,52000,66783,83156,77878,67187,91798,91453,114642,112225,113747,90049,67466,50434,48873,35070,20793,9626,3266,611,97
Incheon,2013,1432268,69942,68681,81604,102353,107106,95718,122093,116463,132317,126530,132368,100333,60587,45473,34634,21159,9584,3703,1398,190,0,1419509,66261,64948,76043,93255,98327,90205,116476,110000,129429,126908,127260,97515,60090,48853,43711,33287,21268,10803,3900,832,138
Gwangju,2013,725433,36602,39403,51018,61399,55386,45802,58574,58114,65715,61064,57121,43074,29978,24021,19087,11419,5098,1985,500,68,0,738337,34275,36656,46877,56580,50219,44283,58469,58035,66640,61337,58469,45363,32802,27012,24208,17617,11192,5412,2315,495,81
Daejon,2013,760643,38209,39794,48040,59050,58111,51247,61693,60433,70184,63862,63428,50942,32810,23773,18886,11861,5391,2152,659,102,0,761056,36057,37278,44131,52976,51296,47269,61359,60573,70326,64493,64136,51327,33328,25612,23619,17905,11274,5520,2034,460,83
Ulsan,2013,591448,29943,29045,36052,47349,46262,38361,49365,45579,52790,55634,54995,41728,26046,16494,11933,6164,2642,808,224,33,0,558294,28202,26520,32000,40119,36022,32094,45407,43342,53663,53649,51249,39259,24367,16308,14275,10357,6581,3429,1209,212,30
Sejong,2013,61745,3325,3428,3494,3555,3709,3761,4896,5178,6087,4910,4992,4286,2915,2212,2170,1645,775,295,99,10,0,59522,3271,3334,3304,3180,3284,3078,4609,4800,4824,4088,4376,3878,2974,2507,2861,2356,1646,789,280,75,8
Gyeonggi,2013,6102230,317431,325659,379898,440781,424043,387218,508675,514153,603307,546432,527955,392937,237112,184085,149777,96082,43925,16205,5654,783,0,6031352,300223,307540,352286,403679,392124,365281,496871,504461,585946,526944,493678,375798,242645,203905,188007,142002,86248,43417,16378,3368,551
Gangwon,2013,769714,31307,34342,44011,53216,55995,44163,50710,52393,66024,64441,70279,62164,38602,34008,32295,21356,8905,3841,1376,230,0,758779,29531,31650,40108,47980,43811,35551,46976,50164,60129,59476,68081,60034,40715,38124,41103,31294,19273,10174,3649,826,130
North Chungcheong,2013,787280,36961,37543,46209,56527,55086,48997,58676,57925,68502,66928,68382,57742,37682,29604,27928,19435,8613,3396,982,139,0,775103,35016,35032,42216,50814,45680,42056,54503,54251,63765,62817,64685,55737,38248,32455,36245,30198,18694,8686,3233,654,118
South Chungcheong,2013,1030346,50871,50709,58975,68725,64821,62937,82774,79440,90350,84354,85749,69825,49976,40653,37879,29870,15051,5567,1536,260,0,1003472,47992,47357,54361,62048,57616,54364,71988,70355,78786,74473,78556,67530,51345,44047,50331,44794,27928,13344,5051,1038,168
North Jeolla,2013,926779,40948,43556,55437,68157,63661,52201,63083,65310,79255,76436,78466,66288,49610,41152,36810,26525,13217,5064,1399,184,0,933782,38548,40481,51750,62410,54738,46101,57668,60949,72275,70262,75638,65319,51571,45765,50997,42532,27334,12932,5230,1076,206
South Jeolla,2013,946058,40646,40986,53790,66768,60399,48779,61043,62751,78535,81118,83437,69590,53795,46122,45165,30677,15124,5526,1586,198,0,947520,38996,38426,49231,60419,51097,41998,54315,54836,66503,68014,76078,65461,54444,52715,63800,53088,34578,15153,6812,1303,253
North Gyeongsang,2013,1346982,58896,57693,72058,90048,92282,80778,96762,94115,112829,112406,120551,102151,77119,57122,55816,38459,18539,7093,1957,285,0,1334497,54854,52806,64216,77890,73622,66336,87669,86209,101862,103590,115123,100321,79979,63589,76413,62780,39072,19381,7071,1464,250
South Gyeongsang,2013,1667127,82113,82130,99971,122538,114990,96696,129272,127517,152776,143797,147324,119926,81048,59545,50343,33552,16048,5844,1473,199,0,1645272,76791,75968,89507,106048,92508,83889,119814,119493,143895,136260,140341,116313,82994,66813,71798,58680,38879,18178,5919,1019,165
Jeju,2013,295293,15009,16380,20065,22493,19913,15936,21013,22265,28087,26166,24613,19743,12634,11600,9299,6227,2777,715,300,51,0,293942,14282,14986,18179,20389,17546,14722,20301,20690,26454,23416,23125,19035,13275,12421,11844,10056,7280,3106,2240,507,88
Countrywide,2014,25418917,1178042,1183972,1385046,1738971,1845874,1628838,1989163,1961321,2280419,2197923,2179542,1890087,1272306,983443,791360,534599,251900,93279,27908,4376,0,25443672,1115731,1111567,1273527,1578467,1629717,1507851,1900024,1897940,2195231,2145617,2127474,1899962,1318242,1071480,992415,799301,506916,257283,92333,19293,3301
Seoul,2014,4899810,207459,199838,235745,303925,353195,371213,450572,400866,441984,403487,396841,361815,254311,202894,158690,94593,40861,15493,5063,836,0,5052503,196738,189264,219596,280899,343897,380841,445900,398174,439626,411471,415435,393434,275427,224259,178381,125205,74708,40440,15054,3212,542
Busan,2014,1720938,69178,66412,81493,111594,129918,109912,130684,124442,141270,140109,150965,148523,109567,81895,63883,37791,16232,5469,1400,180,0,1761131,65620,62461,74616,98326,112319,102829,125060,119956,140506,146440,161222,159860,115161,89531,76337,54875,32841,16836,5241,930,164
Daegu,2014,1230251,52548,55137,70392,92792,99088,78511,86308,88811,107146,109351,108608,93164,64296,46341,37331,24317,11251,3775,929,144,0,1243841,49838,50950,62603,80898,79070,66159,85611,89897,110967,113570,111416,97175,69419,53100,48804,37053,22602,10445,3476,681,107
Incheon,2014,1443144,69953,68639,77398,98520,109981,95995,117606,116611,131505,127083,132241,108561,65272,48757,35580,22915,10653,4128,1462,254,0,1432419,66413,64970,72543,90525,99828,90447,112397,110552,126726,128596,128381,105813,64690,51660,43863,35097,22600,11963,4293,916,146
Gwangju,2014,726716,36119,38823,47917,59771,57734,44530,56278,57156,65952,62172,57128,46550,30794,25518,19418,12279,5683,2242,572,76,0,740307,33933,36245,44102,55679,51651,42969,55319,57599,66822,62813,57916,49107,33530,28772,24320,18495,11916,6194,2311,510,104
Daejon,2014,760073,37800,38746,45374,57050,59336,51196,59294,58954,68692,65157,63070,53752,34996,25374,19293,12773,6094,2292,686,129,0,761007,35664,36408,41939,51546,52407,46310,58279,59428,68544,66275,63538,54416,35932,26987,23720,18735,12043,6061,2213,472,90
Ulsan,2014,597157,30273,29194,33664,45267,47657,39194,48110,46410,51753,55763,55323,44995,28165,18032,12276,6839,3029,930,238,41,0,562734,28626,26749,29880,39128,36806,32074,43786,43230,52111,54882,51476,42684,26299,17292,14608,10792,7006,3738,1305,224,38
Sejong,2014,78423,5001,4930,4569,4258,4577,4538,6508,7229,8185,6317,5899,4985,3441,2533,2291,1769,928,340,116,7,0,76851,4829,4758,4358,3961,4187,4187,6667,7140,6755,5288,5054,4632,3439,2837,2956,2603,1839,943,330,76,12
Gyeonggi,2014,6164173,315084,323340,363261,431178,441905,389881,492194,508773,597635,557582,534463,425843,258108,194492,152533,103571,48972,18214,6050,969,0,6094622,299490,305395,337683,397988,403796,365642,475649,501278,579187,543916,501899,407499,261384,212239,188939,150001,92686,48307,17367,3676,601
Gangwon,2014,771389,30788,33452,41465,52164,57842,43821,48583,50780,64511,65757,68911,65486,42830,34124,32098,23238,9769,3942,1517,256,0,759650,29159,31080,37701,47402,44488,34847,44465,48817,59118,60512,65900,63932,44312,37540,40558,33196,20481,11174,3928,908,132
North Chungcheong,2014,790653,36442,36902,43659,55156,57242,48116,56736,56913,67040,68874,68213,61303,40650,30893,27283,20716,9671,3635,1050,135,0,778124,34861,34588,39833,49985,46872,41098,52295,53242,62052,65187,63812,59332,41320,32749,35421,31372,20137,9743,3374,722,129
South Chungcheong,2014,1038704,50574,50635,56245,67512,67028,62412,80345,78769,89918,86219,86541,74083,52439,43238,37018,30834,16816,6143,1615,299,0,1009756,47557,47288,52062,61244,58334,53709,69528,70034,78268,76080,78279,71302,53984,45301,48797,46243,30327,14735,5316,1180,188
