"링크ID(T_LINK_ID)","요일(DAY)","시간(TIME)","날씨(WEATHER)","목적지(DEST)","승차건수(CNT_ON)","하차건수(CNT_OFF)","공차건수(CNT_EMP)"
"T_173638","6","04","3","1123","1",,
"T_172456","5","04","-1","1156","",,21
"T_190880","6","19","2","1117","2",,
"T_190733","6","25","1","1135","1",,
"T_181620","6","09","1","1153","2",6,
"T_157262","1","08","2","1120","",,
"T_173844","3","16","-1","1126","2",9,23
"T_154438","3","33","-1","1121","",,19
"T_217873","7","08","3","1130","",,
"T_170192","3","07","1","1121","1",,3
"T_175633","3","26","-1","1162","1",,
"T_181094","2","13","-1","","3",,
"T_173209","7","24","1","4129","",1,
"T_163583","4","00","1","1117","1",,
"T_174809","3","43","1","1126","6",,
"T_167257","7","07","1","","",,
"T_164418","4","25","1","1156","",35,70
"T_185405","1","30","1","1135","3",,9
"T_173832","1","04","1","1165","1",,25
"T_193425","1","45","1","","",,
"T_177653","1","21","1","","8",,4
"T_174320","3","41","1","","",,
"T_160832","1","35","-1","1153","2",,
"T_158943","5","19","1","1126","1",2,
"T_169027","7","45","-1","1121","",,
"T_160164","7","38","-1","","15",,
"T_160398","4","01","1","1121","10",,
"T_184408","5","35","1","1121","1",,
"T_193161","2","28","1","1162","1",6,
"T_194111","4","31","-1","1144","",,1126
"T_153664","2","10","1","","3",,
"T_167178","5","35","1","1168","1",,
"T_172373","5","19","2","","1",,
"T_154293","6","23","1","1120","6",,
"T_193113","2","20","1","","37",,
"T_149904","5","46","-1","1114","",,564
"T_156628","7","23","2","1165","1",,1310
"T_192162","6","14","1","","1",,
"T_189530","3","47","1","1129","",,
"T_192870","6","34","1","","10",,
"T_188316","2","40","1","1120","3",7,
"T_171245","7","39","2","1162","1",1,
"T_166354","4","44","1","1130","1",,
"T_183811","5","43","1","4113","1",,
"T_153863","2","00","1","1162","6",1,
"T_174329","2","30","1","1171","1",,
"T_178113","4","43","1","","2",3,25
"T_195667","1","15","2","","",,
"T_169332","4","09","1","","3",,
"T_176986","3","25","-1","1156","2",,7
"T_162287","2","41","1","","1",,36
"T_160263","7","44","1","1174","1",,
"T_176423","7","25","2","","1",,
"T_154652","6","37","1","","",,182
"T_193815","3","03","1","1126","2",,
"T_182864","7","26","2","4113","5",,
"T_171467","5","19","1","1159","1",,
"T_182884","1","31","-1","","",,
"T_174052","1","11","1","1144","",,
"T_150215","6","21","-1","1126","1",,
"T_194858","5","21","1","1168","3",,
"T_194854","6","04","-1","","1",1,34
"T_186492","4","34","-1","","1",,
"T_168359","1","39","-1","1129","1",,
"T_172358","3","04","2","","1",68,
"T_153470","2","25","1","1121","1",,
"T_158269","6","04","3","","",,4
"T_169854","7","18","2","1156","1",,
"T_169251","4","13","1","1126","1",,
"T_185642","2","47","1","1138","1",,
"T_176270","6","46","1","1121","",,235
"T_187271","1","11","-1","1159","9",,64
"T_167443","3","35","1","1117","",,
"T_153081","2","08","-1","4119","1",,
"T_162725","4","10","-1","1168","1",,122
"T_175909","2","07","2","1111","30",,
"T_164851","4","13","1","","",,
"T_168740","3","11","2","","1",,
"T_189898","7","05","1","","2",31,
"T_160938","3","02","3","","1",,69
"T_158865","6","00","2","","1",,
"T_161918","6","15","-1","1117","1",,
"T_170802","5","31","1","","1",,
"T_151951","6","39","1","","1",,1
"T_183551","7","23","1","","1",4,463
"T_168923","3","19","1","","5",77,341
"T_154167","4","35","-1","","",,
"T_193213","6","28","-1","4121","1",20,
"T_153442","3","34","1","1117","2",,
"T_177641","7","32","1","1144","",,6
"T_152321","3","15","1","1138","2",,
"T_181922","6","04","2","1165","1",,77
"T_160648","4","38","1","1126","",,
"T_170093","5","00","1","1154","1",,
"T_178031","4","46","2","4119","1",,1567
"T_195543","3","05","1","1123","1",,
"T_181543","3","04","1","","1",,314
"T_164831","2","22","1","1144","1",,210
"T_192556","1","07","1","","3",,
"T_167682","4","20","-1","1159","",,28
"T_195252","5","25","1","1154","",,
"T_183167","4","23","2","1130","1",2,32
"T_174097","6","16","-1","","",,
"T_180992","5","47","1","","1",,
"T_185939","5","03","-1","1174","3",8,588
"T_173694","6","24","1","1165","2",79,189
"T_151545","3","08","-1","1135","12",,837
"T_163732","2","25","1","1126","",,
"T_191690","7","41","2","","",,
"T_154496","2","41","1","1130","7",,9
"T_167033","7","35","-1","","1",,24
"T_177325","4","02","1","","",,
"T_166646","7","11","1","","3",2,72
"T_182212","2","07","1","1162","1",,4
"T_181099","6","00","1","","8",2,230
"T_185446","3","40","2","1156","1",,
"T_185705","3","25","1","1159","2",,56
"T_193237","5","07","1","","",,
"T_180514","1","28","-1","","4",,
"T_167522","5","47","1","","1",,14
"T_186973","3","46","-1","1168","2",,
"T_192935","2","07","1","1154","1",,
"T_174553","3","22","-1","","1",,
"T_164970","6","11","-1","1129","1",,
"T_181690","6","45","1","","",,
"T_167513","3","00","1","1138","1",,
"T_179159","7","00","1","1132","",,
"T_178360","7","25","2","1159","",,11
"T_155815","2","06","-1","","1",,
"T_184752","6","23","1","1130","",,
"T_176151","7","13","1","1120","1",,
"T_181470","6","06","1","1171","",,
"T_174212","5","23","2","1130","",,
"T_167464","3","38","1","1147","1",,
"T_161918","5","15","1","1111","",,53
"T_180436","2","09","1","1144","1",,
"T_178712","7","43","2","1123","1",,
"T_164077","6","04","-1","1135","2",,
"T_195829","6","11","1","1114","11",,3
"T_170652","3","05","-1","4115","1",,115
"T_188532","3","21","2","1121","",,4710
"T_158899","2","19","1","1162","2",,
"T_190545","1","29","1","","1",,337
"T_182713","4","16","2","1117","",,140
"T_153135","6","32","1","1171","3",,
"T_182113","4","16","-1","4113","",,
"T_155975","6","15","1","1156","",,16
"T_169761","6","46","1","1168","6",,
"T_172100","2","30","2","1159","",,
"T_158369","7","39","-1","1111","1",,
"T_168684","6","27","-1","","2",,
"T_181211","6","03","2","1123","3",,68
"T_179041","7","10","-1","1117","1",,385
"T_174204","5","36","1","","2",,341
"T_186680","1","01","1","1141","1",,
"T_161037","7","47","1","1135","1",,
"T_193456","7","27","1","1111","1",,
"T_174912","6","16","2","1165","5",11,
"T_195733","5","12","1","1168","1",,
"T_179572","5","03","1","1165","",,
"T_181536","3","04","-1","1154","1",,
"T_181270","1","06","1","1117","1",,18
"T_179170","6","44","1","1121","2",,210
"T_177237","2","09","1","","",,228
"T_185711","1","07","2","1129","1",,
"T_152700","5","17","-1","1165","5",,17
"T_181563","7","29","-1","1174","",,214
"T_164048","7","18","2","","1",,
"T_191883","7","27","2","1162","7",,
"T_171891","4","20","-1","1159","11",,
"T_150147","7","00","1","1132","1",,
"T_161661","7","27","1","","1",1,
"T_178955","1","20","3","1141","",,
"T_151882","2","37","2","1171","4",,
"T_153693","3","47","1","1156","1",,13
"T_150998","5","00","-1","1111","",,
"T_187143","3","46","1","1138","1",189,6
"T_173363","5","21","1","1135","1",,106
"T_181534","2","07","-1","1135","1",,
"T_165048","5","36","1","4128","1",,20
"T_162177","3","22","2","2820","8",3,28
"T_153531","3","13","1","1144","1",5,25
"T_178173","4","35","-1","","4",,
"T_178077","7","27","-1","2824","",,
"T_173617","7","34","1","1117","1",,
"T_185588","7","01","1","1123","1",,110
"T_180024","7","16","1","1165","1",,680
"T_170333","2","32","1","1154","1",,
"T_180529","5","45","1","1168","4",,1167
"T_174603","7","39","1","1156","2",,64
"T_177822","5","14","1","4119","1",,
"T_153066","5","34","1","1111","",,
"T_193341","1","28","-1","","1",3,
"T_172459","2","41","1","1171","",,
"T_154169","1","03","2","","1",,
"T_154062","3","22","1","","3",,
"T_192477","4","37","-1","4117","4",,
"T_196434","1","36","-1","","2",16,
"T_171132","7","04","-1","1129","3",5,
"T_162010","5","04","1","","1",,1157
"T_217693","5","04","1","1150","",,228
"T_180806","4","38","-1","1147","1",,
"T_167279","1","14","1","1144","",,
"T_181459","6","07","-1","1121","27",,
"T_172525","3","10","-1","","2",,
"T_155728","1","39","1","1174","2",9,
"T_162639","6","15","1","1171","1",,
"T_162799","5","05","1","","3",8,96
"T_191805","3","23","1","1120","",,
"T_194017","1","02","1","2823","19",22,
"T_193817","6","36","-1","1165","",11,
"T_170457","2","43","1","4115","1",,3
"T_174070","3","39","-1","1150","3",,
"T_153085","4","00","1","1153","1",4,
"T_168742","1","26","-1","1132","3",,
"T_156567","2","27","-1","1147","1",1,
"T_195622","4","45","3","1171","1",,
"T_160314","5","32","-1","1154","",,
"T_173540","7","33","1","1168","6",,
"T_187404","1","33","1","1154","1",,
"T_179521","3","23","3","1159","3",,
"T_176812","4","25","1","1153","7",8,106
"T_175165","4","46","-1","1156","1",,
"T_150806","4","16","1","1132","1",,5
"T_196240","5","40","1","4131","1",,
"T_187571","7","37","1","1165","1",5,
"T_192853","2","39","-1","","",,164
"T_178219","4","42","1","","1",,
"T_167222","1","46","1","","",1,196
"T_191500","7","23","2","1126","8",,
"T_193549","6","06","1","1156","6",,
"T_172368","1","42","2","1171","2",,
"T_174311","7","19","-1","1174","1",,
"T_172526","4","00","1","1123","",35,
"T_170079","1","18","1","1141","2",,
"T_158119","7","13","1","1120","",,
"T_192475","6","45","2","","2",,
"T_180818","4","05","1","1159","1",,6
