cols/부착대관리번호,cols/상태 (공통),cols/부착방식,cols/부착대방향,cols/신호등수량,cols/배면등수량,cols/신호등종류,cols/지주관리번호,cols/신호발광구분,cols/작업구분 (공통),cols/표출구분 (공통),cols/신규정규화ID,cols/부착대관리번호.1,cols/이력ID,cols/X좌표,cols/Y좌표,cols/공사형태 (공통),lng,lat,inputaddr,z,hc,cols/부착대길이,cols/고가 (공통),cols/배면등종류,cols/공사관리번호,cols/설치일,cols/제조회사,cols/교체일
03-0000027704,1,3,86,2,0,3,02-0000119454,2,1,1,,03-027704,91580,209522.7096,540582.76397,,127.10764117773033,37.46461917999528,,,,9,1,,2005-0101-050,,,
03-0000027713,1,5,98,4,2,8,02-0000119182,1,2,1,,03-027713,91581,201549.75752,551764.97532,,127.01754146397424,37.565419053437886,,,,7,1,8,2000-0000-000,,,
03-0000027721,1,4,331,1,0,14,02-0000119462,1,4,1,,03-027721,91582,203969.75082,552457.83404,,127.04493673597858,37.57165443104094,,,,999,1,,2000-0000-000,,,
03-0000027732,1,2,223,1,0,10,02-0000016718,1,4,1,,03-027732,91583,209658.67611,545216.24762,,127.10923885941389,37.50636576830931,,,,999,1,1,2008-0201-004,,,
03-0000048796,1,3,106,1,0,7,02-0000080473,2,2,1,,03-048796,91584,207631.54794,554277.0554,,127.08640640874049,37.58802243124074,,,,999,1,,2006-0201-028,,,
03-0000027752,1,2,106,1,0,7,02-0000017820,2,1,1,,03-027752,91585,201430.27034,542826.58588,,127.01617161372562,37.48488415728586,,,,999,1,,2006-0201-007,,,
03-0000027762,1,2,199,1,0,7,02-0000016880,1,4,1,,03-027762,91586,200413.35531,542568.7546,,127.00467353294269,37.48256208955054,,,,999,1,,2008-0201-006,,,
03-0000027773,1,2,239,1,0,7,02-0000096388,2,4,1,,03-027773,91587,210388.36427,547383.85865,,127.11752218195038,37.525888061734754,,,,999,1,,2006-0201-015,,,
03-0000027782,1,3,244,3,0,3,02-0000119237,2,1,2,,03-027782,91588,211306.70434,545843.27427,,127.12788752638441,37.51199658663194,,,,15,1,,2006-0201-010,,,
03-0000027793,1,2,49,1,0,7,02-0000016648,2,1,2,,03-027793,91589,212824.87829,544396.50254,,127.14503397486094,37.498941298809285,,,,999,1,,2006-0101-013,,,
03-0000027803,1,2,50,1,0,7,02-0000014002,2,4,1,,03-027803,91590,191336.93315,550500.31572,,126.90195909063362,37.5539851082772,,,,999,1,,2012-0101-007,,,
